ai,application/pdf
apk,application/vnd.android.package-archive
plist,application/x-plist
S,text/x-asm
asm,text/x-asm
aspx,text/html
asp,text/html
bat,text/x-msdos-batch
bmp,image/bmp
bz2,application/x-bzip2
tbz2,application/x-bzip2
tar.bz2,application/x-bzip2
c,text/x-c
cpp,text/x-c
h,text/x-c
hpp,text/x-c
cc,text/x-c
cab,application/vnd.ms-cab-compressed
cat,application/octet-stream
chm,application/chm
cpl,application/x-dosexec
crx,application/x-chrome-extension
cs,text/plain
css,text/css
csv,text/csv
deb,application/vnd.debian.binary-package
dex,application/x-android-dex
dll,application/x-dosexec
dmg,application/x-apple-diskimage
doc,application/msword
docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
docm,application/vnd.openxmlformats-officedocument.wordprocessingml.document
dylib,application/x-mach-o
elf,application/x-executable-elf
so,application/x-executable-elf
emf,application/octet-stream
eml,message/rfc822
epub,application/epub+zip
exe,application/x-dosexec
flac,audio/flac
gif,image/gif
go,text/x-golang
gz,application/gzip
gzip,application/gzip
tgz,application/gzip
tar.gz,application/gzip
hfs,application/x-hfs
hlp,application/winhlp
hta,application/hta
html,text/html
htm,text/html
xhtml,text/html
xht,text/html
ico,image/vnd.microsoft.icon
ini,text/plain
url,application/x-mswinurl
iso,application/x-iso9660-image
jar,application/java-archive
java,text/x-java
class,application/x-java-applet
js,application/javascript
jpg,image/jpeg
jpeg,image/jpeg
json,application/json
ko,application/x-executable-elf
tex,text/x-tex
lisp,text/x-lisp
lnk,application/x-ms-shortcut
m3u8,text/plain
m3u,text/plain
Makefile,text/x-makefile
md,text/markdown
mht,application/x-mimearchive
mp3,audio/mpeg
mp4,video/mp4
msi,application/x-msi
mui,application/x-dosexec
mum,text/xml
ocx,application/x-dosexec
odex,application/x-executable-elf
odp,application/vnd.oasis.opendocument.presentation
ods,application/vnd.oasis.opendocument.spreadsheet
odt,application/vnd.oasis.opendocument.text
ogg,audio/ogg
pcap,application/vnd.tcpdump.pcap
pcapng,application/vnd.tcpdump.pcap
pdf,application/pdf
exe,application/x-dosexec
dll,application/x-dosexec
sys,application/x-dosexec
pem,application/x-pem-file
pub,application/x-pem-file
pl,text/x-perl
php,text/x-php
png,image/png
ps,application/postscript
ps1,application/x-powershell
ppt,application/vnd.ms-powerpoint
pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
pptm,application/vnd.openxmlformats-officedocument.presentationml.presentation
pub,application/x-mspublisher
py,text/x-python
pyc,application/x-bytecode.python
pyo,application/x-bytecode.python
rar,application/x-rar
rdf,application/rdf+xml
rpm,application/x-rpm
rst,text/x-rst
rtf,text/rtf
rb,application/x-ruby
rs,application/x-rust
scala,application/x-scala
scr,application/x-dosexec
7z,application/x-7z-compressed
sh,text/x-shellscript
smali,application/x-smali
so,application/x-executable-elf
sql,application/x-sql
svg,image/svg+xml
swf,application/x-shockwave-flash
sys,application/x-windows-driver
tar,application/x-tar
tga,image/x-tga
tiff,image/tiff
tif,image/tiff
torrent,application/x-bittorrent
ttf,font/sfnt
txt,text/plain
z,application/x-compress
vbs,text/vbscript
wav,audio/x-wav
webm,video/webm
webp,image/webp
reg,text/x-ms-regedit
wmf,image/wmf
pkg,application/x-xar
xls,application/vnd.ms-excel
xlsb,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
xlsm,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
xml,text/xml
xpi,application/zip
xz,application/x-xz
yml,application/x-yaml
yaml,application/x-yaml
zip,application/zip